id,artist,title,year,medium,dimensions,object_id,file_name
1,"Weegee (Arthur Fellig)",Untitled,n.d.,"Gelatin silver print","paper: 6 5/16 in x 6 11/16 in",1989:9,1989_9.JPG
2,"Cheek, Vernon",Untitled,1990,"Chromogenic development print","image: 16 in x 16 in; paper: 20 in x 16 in",1990:30.2,1990_30_2.jpg
3,"Nixon, Nicholas","The Brown Sisters, Concord, Massachusetts",1992,"Gelatin silver print","mat: 16 in x 20 in; paper: 8 in x 10 in",1994:77,1994_77.jpg
4,"Lyon, Danny",Untitled,n.d.,"Gelatin silver print","paper: 10 3/16 in x 10 1/4 in",1989:1,1989_1.jpg
5,"Lyon, Danny","St. George Building, N.W. Corner, Beekman and Cliff",n.d.,"Gelatin silver print","paper: 8 1/2 in x 10 3/4 in",1989:2,1989_2.jpg
6,"Rubinstein, Eva","Portrait and White Bowl, Florence, From "Eva Rubenstein"" Portfolio"",1979,"Gelatin silver print","paper: 14 in x 11 in",1989:13.1,1989_13_1.JPG
7,"Rubinstein, Eva","Stairwell, New Orleans, From "Eva Rubenstein"" Portfolio"",1972,"Gelatin silver print","paper: 14 in x 11 in",1989:13.7,1989_13_7.JPG
8,"Rubinstein, Eva","Two Doorways, Sabbioneta, From "Eva Rubenstein"" Portfolio"",1978,"Gelatin silver print","paper: 11 in x 11 3/8 in",1989:13.17,1989_13_17.JPG
9,"Rubinstein, Eva","My Father Practicing in Hotel Room, Rome, From "Eva Rubenstein"" Portfolio"",1969,"Gelatin silver print","paper: 14 in x 11 in",1989:13.4,1989_13_4.JPG
10,"Rubinstein, Eva","Man Passing Blank Gravestone, Northampton, From "Eva Rubenstein"" Portfolio"",1975,"Gelatin silver print","paper: 14 in x 11 in",1989:13.5,1989_13_5.JPG
11,"Rubinstein, Eva","Christina, From "Eva Rubenstein"" Portfolio"",1978,"Gelatin silver print","paper: 14 in x 11 in",1989:13.6,1989_13_6.JPG
12,"Rubinstein, Eva","Guest Room, "Aunt"" Sophie's House"," St. Joseph"," From ""Eva Rubenstein"" Portfolio"",1979,"Gelatin silver print","paper: 11 in x 11 1/4 in"
13,"Rubinstein, Eva","White Courtyard With Shadows, Spain, From "Eva Rubenstein"" Portfolio"",1973,"Gelatin silver print","paper: 14 in x 11 in",1989:13.10,1989_13_10.JPG
14,"Rubinstein, Eva","Dark Lobby With Billowing Curtain, Ancona, From "Eva Rubenstein"" Portfolio"",1979,"Gelatin silver print","paper: 14 in x 11 in",1989:13.16,1989_13_16.JPG
15,"Heinecken, Robert",""...Docudrama (Shriver/Baskervill)"""",n.d.,"Silver dye bleach print","image: 7 1/2 in x 10 1/2 in",1989:21,1989_21.jpg
16,"Schiff, Darryll","Untitled, From "Institute of Design Student Independent"" Portfolio"",1971,"Gelatin silver print","board: 11 in x 14 in; image/paper: 5 in x 7 3/8 in",1981:185.14,1981_185_14.jpg
17,"Slavin, Neal","Lloyd Rod & Gun Club, Highland, New York, from the "Groups in America"" portfolio"",1979,"Chromogenic development print","image: 10 1/2 in x 10 7/8 in; paper: 11 in x 14 in",1981:49.6,1981_49_6.jpg
18,"Traub, Charles H.","Untitled, From "Institute of Design Student Independent"" Portfolio"",1971,"Gelatin silver print","board: 11 in x 14 in; image/paper: 5 3/4 in x 6 in",1981:185.20,1981_185_20.jpg
19,"Wheeler, Warren","Untitled, From "Institute of Design Student Independent"" Portfolio"",1971,"Gelatin silver print","board: 11 in x 14 in; image/paper: 4 1/2 in x 5 5/8 in",1981:185.21,1981_185_21.JPG
20,"Ishimoto, Yasuhiro","Untitled, from "Chicago"," Chicago"""",1958-1961,"Gelatin silver print","image: 7 1/16 in x 10 in; paper: 11 in x 14 in",1981:112
21,"Connor, Linda","United, from "New California Views"" Portfolio"",1978,"Gelatin silver print","paper: 8 in x 10 in",1980:56,1980_56.JPG
22,"Deal, Joe","View, Magic Mountain, Valencia, California, from "New California Views"" portfolio"",1977,"Gelatin silver print","image: 11 1/8 in x 11 1/4 in; mat: 24 in x 20 in; paper: 20 in x 16 in",1980:58,1980_58.jpg
23,"Morgan, Barbara","Union Square Peace Meeting","1940; printed 1980","Gelatin silver print","image: 13 5/16 in x 17 1/16 in; paper: 16 in x 20 in",1982:2,1982_2.jpg
24,"Morgan, Barbara","Le Corbusier in New York","1946; printed 1980","Gelatin silver print","image: 12 3/16 in x 13 9/16 in; paper: 20 in x 16 in",1982:7,1982_7.jpg
25,"Morgan, Barbara","Jose Limon: Cowboy Song","1944; printed 1980","Gelatin silver print","paper: 20 in x 16 in",2000:6,2000_6.jpg
26,"Sternfeld, Joel","Exhausted Renegade Elephant, Woodland, Washington","June 1979",,"frame: 23 3/8 in x 21 1/16 in",1994:61,1994_61.jpg
27,"Strand, Paul","Calvario, Patzcuaro, from "The Mexican"" portfolio"","1933; printed 1967",Photogravure,"image: 10 7/8 in x 7 3/4 in; paper: 15 7/8 in x 12 3/8 in",1980:90.11,1980_90_11.jpg
28,"Minick, Roger","Cups and Screen, from the "Delta"" portfolio"","1967; portfolio 1976","Gelatin silver print","image/paper: 7 11/16 in x 9 3/16 in; mat: 13 in x 16 in",1981:48.3,1981_48_3.JPG
29,"Strand, Paul","Woman, Patzcuaro, from "The Mexican"" portfolio"","1933; printed 1967",Photogravure,"image: 6 3/8 in x 12 3/8 in; paper: 15 7/8 in x 12 3/8 in",1980:90.5,1980_90_5.JPG
30,"Slavin, Neal","World Body Building Guild (W.B.B.G.) Brooklyn, New York, from "Groups in America"" portfolio"",1979,"Chromogenic development print","image: 9 1/2 in x 13 1/2 in; paper: 11 in x 14 in",1981:49.5,1981_49_5.jpg
31,"Arndt, Thomas Frederick","People Waiting for a Bus in the Rain, Chicago, from Changing Chicago",1987,"Gelatin silver print","image: 8 1/4 in x 12 1/4 in; paper: 11 in x 14 in",1995:442,1995_442.jpg
32,"Arndt, Thomas Frederick","Man and Woman Riding a Bus, Chicago, from Changing Chicago",1987,"Gelatin silver print","image: 8 1/4 in x 12 3/16 in; paper: 11 in x 14 in",1995:443,1995_443.jpg
33,"Smith, Michael A.","Atchafalaya Basin, Louisiana",1985,"Gelatin silver print","paper: 7 5/8 in x 19 1/2 in",1994:90,1994_90.jpg
34,"Hocker, Thomas","Untitled, from Changing Chicago",1987-1988,"Gelatin silver print","paper: 11 in x 14 in",1995:482,1995_482.JPG
35,"Hocker, Thomas","Untitled, from Changing Chicago",1987-1988,"Gelatin silver print","paper: 11 in x 14 in",1995:484,1995_484.jpg
36,"Pinney, Melissa Ann","Seland Beauty School: Surveying the Results, from Changing Chicago","July 15, 1988","Chromogenic development print","paper: 16 in x 20 in",1989:143,1989_143.jpg
37,"Arndt, Thomas Frederick","Man with Rings Riding a Bus, Chicago, from Changing Chicago",1987,"Gelatin silver print","image: 12 3/16 in x 18 1/4 in; mat: 22 in x 28 in; paper: 11 in x 14 in",1995:446,1995_446.jpg
